pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,arc,word,0,T,both_R_and_action_valid_diagnostic_only,FFR_E0,224,12,0.05357142857142857,0.5326257861635221,0.06609676618313744,0.21358065518499098,
large,arc,word,0,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,12,0.05357142857142857,0.5,0.05357142857142857,0.21290967656376855,
large,arc,word,0,C,all,FFR_E0,224,9,0.04017857142857143,0.4992248062015503,0.045882699048931254,0.16971268620826357,
large,arc,word,0,C,all,constant_flip_rate,224,9,0.04017857142857143,0.5,0.04017857142857143,0.16922593117867257,
large,arc,word,0,C,both_R_and_action_valid_diagnostic_only,FFR_E0,222,7,0.03153153153153153,0.5109634551495017,0.03690308111027559,0.14334916222018096,
large,arc,word,0,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,222,7,0.03153153153153153,0.5,0.03153153153153153,0.14340252873360387,
large,arc,word,0,A,all,FFR_E0,224,2,0.008928571428571428,0.32207207207207206,0.00971536109150788,0.05162492752301562,
large,arc,word,0,A,all,constant_flip_rate,224,2,0.008928571428571428,0.5,0.008928571428571428,0.051354498531360156,
large,arc,word,0,A,both_R_and_action_valid_diagnostic_only,FFR_E0,224,2,0.008928571428571428,0.32207207207207206,0.00971536109150788,0.05162492752301562,
large,arc,word,0,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,2,0.008928571428571428,0.5,0.008928571428571428,0.051354498531360156,
large,arc,word,1,T,all,FFR_E0,224,6,0.026785714285714284,0.5282874617737003,0.038710601262581565,0.1270395319084441,
large,arc,word,1,T,all,constant_flip_rate,224,6,0.026785714285714284,0.5,0.026785714285714284,0.12684611464684506,
large,arc,word,1,T,both_R_and_action_valid_diagnostic_only,FFR_E0,224,6,0.026785714285714284,0.5282874617737003,0.038710601262581565,0.1270395319084441,
large,arc,word,1,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,6,0.026785714285714284,0.5,0.026785714285714284,0.12684611464684506,
large,arc,word,1,C,all,FFR_E0,224,8,0.03571428571428571,0.48668981481481477,0.04711125303428233,0.1569857217082181,
large,arc,word,1,C,all,constant_flip_rate,224,8,0.03571428571428571,0.5,0.03571428571428571,0.15620525022487813,
large,arc,word,1,C,both_R_and_action_valid_diagnostic_only,FFR_E0,224,8,0.03571428571428571,0.48668981481481477,0.04711125303428233,0.1569857217082181,
large,arc,word,1,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,8,0.03571428571428571,0.5,0.03571428571428571,0.15620525022487813,
large,arc,word,1,A,all,FFR_E0,224,1,0.004464285714285714,0.12556053811659196,0.00510204081632653,0.029687187706462177,
large,arc,word,1,A,all,constant_flip_rate,224,1,0.004464285714285714,0.5,0.004464285714285714,0.029472785969903416,
large,arc,word,1,A,both_R_and_action_valid_diagnostic_only,FFR_E0,223,0,0.0,NA,NA,0.007764884248269848,single_class_evaluation
large,arc,word,1,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,223,0,0.0,NA,NA,0.007851975282685305,single_class_evaluation
large,arc,word,2,T,all,FFR_E0,224,10,0.044642857142857144,0.4457943925233645,0.043521832877147004,0.1847087737992336,
large,arc,word,2,T,all,constant_flip_rate,224,10,0.044642857142857144,0.5,0.044642857142857144,0.18300305223156962,
large,arc,word,2,T,both_R_and_action_valid_diagnostic_only,FFR_E0,224,10,0.044642857142857144,0.4457943925233645,0.043521832877147004,0.1847087737992336,
large,arc,word,2,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,10,0.044642857142857144,0.5,0.044642857142857144,0.18300305223156962,
large,arc,word,2,C,all,FFR_E0,224,9,0.04017857142857143,0.5152454780361757,0.04334138410182259,0.169490771004833,
large,arc,word,2,C,all,constant_flip_rate,224,9,0.04017857142857143,0.5,0.04017857142857143,0.16922593117867257,
large,arc,word,2,C,both_R_and_action_valid_diagnostic_only,FFR_E0,224,9,0.04017857142857143,0.5152454780361757,0.04334138410182259,0.169490771004833,
large,arc,word,2,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,9,0.04017857142857143,0.5,0.04017857142857143,0.16922593117867257,
large,arc,word,2,A,all,FFR_E0,224,1,0.004464285714285714,0.12556053811659196,0.00510204081632653,0.029710521642319094,
large,arc,word,2,A,all,constant_flip_rate,224,1,0.004464285714285714,0.5,0.004464285714285714,0.029472785969903416,
large,arc,word,2,A,both_R_and_action_valid_diagnostic_only,FFR_E0,224,1,0.004464285714285714,0.12556053811659196,0.00510204081632653,0.029710521642319094,
large,arc,word,2,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,224,1,0.004464285714285714,0.5,0.004464285714285714,0.029472785969903416,
large,arc,word,3,T,all,FFR_E0,224,9,0.04017857142857143,0.4201550387596899,0.036538023091761004,0.17070620917209983,
large,arc,word,3,T,all,constant_flip_rate,224,9,0.04017857142857143,0.5,0.04017857142857143,0.16852641362472714,
