pair,dataset,family,fold,action,validity_scope,n,flip_count,flip_rate,gain_count,harm_count,zero_gain_flip_count,R_accuracy,action_accuracy
large,arc,word,3,C,all,224,15,0.06696428571428571,6,6,3,0.8883928571428571,0.8883928571428571
large,arc,word,3,C,both_valid,224,15,0.06696428571428571,6,6,3,0.8883928571428571,0.8883928571428571
large,arc,word,3,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,3,C,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,3,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,3,A,all,224,4,0.017857142857142856,1,1,2,0.8883928571428571,0.8883928571428571
large,arc,word,3,A,both_valid,222,2,0.009009009009009009,1,0,1,0.8918918918918919,0.8963963963963963
large,arc,word,3,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,3,A,action_invalid_only,2,2,1.0,0,1,1,0.5,0.0
large,arc,word,3,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,4,T,all,223,7,0.03139013452914798,6,1,0,0.9282511210762332,0.9506726457399103
large,arc,word,4,T,both_valid,223,7,0.03139013452914798,6,1,0,0.9282511210762332,0.9506726457399103
large,arc,word,4,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,4,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,4,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,4,C,all,223,11,0.04932735426008968,2,8,1,0.9282511210762332,0.9013452914798207
large,arc,word,4,C,both_valid,222,10,0.04504504504504504,2,8,0,0.9324324324324325,0.9054054054054054
large,arc,word,4,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,4,C,action_invalid_only,1,1,1.0,0,0,1,0.0,0.0
large,arc,word,4,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,4,A,all,223,0,0.0,0,0,0,0.9282511210762332,0.9282511210762332
large,arc,word,4,A,both_valid,223,0,0.0,0,0,0,0.9282511210762332,0.9282511210762332
large,arc,word,4,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,4,A,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,4,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,T,all,1119,44,0.03932082216264522,28,13,3,0.9124218051831993,0.9258266309204647
large,arc,semantic,pooled,T,both_valid,1119,44,0.03932082216264522,28,13,3,0.9124218051831993,0.9258266309204647
large,arc,semantic,pooled,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,C,all,1119,52,0.04647006255585344,16,24,12,0.9124218051831993,0.9052725647899911
large,arc,semantic,pooled,C,both_valid,1116,49,0.04390681003584229,16,23,10,0.9139784946236559,0.9077060931899642
large,arc,semantic,pooled,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,C,action_invalid_only,3,3,1.0,0,1,2,0.3333333333333333,0.0
large,arc,semantic,pooled,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,A,all,1119,8,0.0071492403932082215,1,4,3,0.9124218051831993,0.9097408400357462
large,arc,semantic,pooled,A,both_valid,1116,5,0.004480286738351254,1,3,1,0.9139784946236559,0.9121863799283154
large,arc,semantic,pooled,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,semantic,pooled,A,action_invalid_only,3,3,1.0,0,1,2,0.3333333333333333,0.0
large,arc,semantic,pooled,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,semantic,0,T,all,224,12,0.05357142857142857,7,4,1,0.8928571428571429,0.90625
