pair,dataset,reference,split,q,selected,cal_accepted,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,identity
large,obqa,T,fit,0.05,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.5,False,True,1366,683,0.5,1,0.0014641288433382138,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.7067845890320004e-05,0.008130354739634398,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.55,False,True,1366,728,0.5329428989751098,1,0.0013736263736263737,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.477660404951423e-05,0.007629368996989256,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.6,False,True,1366,807,0.5907759882869692,2,0.0024783147459727386,0.0014641288433382138,1178,0.862371888726208,1178,0.0,1178,0.0,1,1,0,0.0003002764564778301,0.008923591545564873,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.65,False,True,1366,870,0.636896046852123,4,0.004597701149425287,0.0029282576866764276,1176,0.8609077598828697,1178,-0.0014641288433382138,1178,-0.0014641288433382416,1,3,0,0.001254096639781857,0.011729771186386517,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.7,False,True,1366,932,0.6822840409956076,8,0.008583690987124463,0.005856515373352855,1174,0.8594436310395315,1178,-0.0029282576866764276,1178,-0.002928257686676483,2,6,0,0.003712903450860046,0.01684290978461933,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.75,False,True,1366,999,0.7313323572474377,12,0.012012012012012012,0.008784773060029283,1172,0.8579795021961932,1178,-0.004392386530014641,1178,-0.004392386530014725,3,9,0,0.006221762358816899,0.020888474084049292,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.8,True,True,1366,1064,0.7789165446559297,18,0.016917293233082706,0.013177159590043924,1168,0.8550512445095169,1178,-0.007320644216691069,1178,-0.007320644216691097,4,14,0,0.010056286791514716,0.026605256765180593,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.85,False,False,1366,1135,0.8308931185944363,42,0.03700440528634361,0.03074670571010249,1160,0.849194729136164,1178,-0.013177159590043924,1178,-0.013177159590043952,10,28,4,0.02679722280618341,0.049692213530610096,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.9,False,False,1366,1217,0.8909224011713031,67,0.05505341002465078,0.04904831625183016,1153,0.8440702781844802,1178,-0.018301610541727673,1178,-0.018301610541727742,16,41,10,0.04291695848876366,0.06939187277942743,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.95,False,False,1366,1297,0.9494875549048316,102,0.07864302235929067,0.0746705710102489,1137,0.8323572474377745,1178,-0.030014641288433383,1178,-0.030014641288433452,21,62,19,0.06457615680357139,0.09465290265104419,predeclared descriptive curve; no dev selection
